GEO.id,GEO.id2,GEO.display-label,Population 16 years and over,Not in labor force,HC01_VC11,Total households,Median household income (dollars),HC01_VC86,Households with cash public assistance income,Households w/ Food Stamp/SNAP benefits past 12 months,Per capita income (dollars)
Id,Id2,Geography,"Estimate; EMPLOYMENT STATUS - Population 16 years and over","Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force","Estimate; EMPLOYMENT STATUS - Civilian labor force","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)"
0500000US55001,55001,"Adams County, Wisconsin",17679,9377,8295,7786,43640,54596,208,1176,22783
0500000US55003,55003,"Ashland County, Wisconsin",12839,4723,8116,6718,39381,51790,214,1324,22196
0500000US55005,55005,"Barron County, Wisconsin",37073,13380,23683,19120,45714,56271,441,2734,23852
0500000US55007,55007,"Bayfield County, Wisconsin",12670,5254,7388,6919,46665,57587,218,872,26485
0500000US55009,55009,"Brown County, Wisconsin",199290,60394,138821,100640,53527,69478,1940,12703,27876
0500000US55011,55011,"Buffalo County, Wisconsin",10845,3562,7283,5771,50196,59930,117,598,26170
0500000US55013,55013,"Burnett County, Wisconsin",12846,5835,6985,7312,41135,51263,191,1133,23963
0500000US55015,55015,"Calumet County, Wisconsin",38426,10899,27527,18583,67427,78098,269,1107,29479
0500000US55017,55017,"Chippewa County, Wisconsin",50329,17564,32746,24873,52109,63568,343,3059,25651
0500000US55019,55019,"Clark County, Wisconsin",25468,9094,16363,12797,45048,57405,207,1034,21699
0500000US55021,55021,"Columbia County, Wisconsin",45389,14032,31284,22615,59769,71381,460,2315,28967
0500000US55023,55023,"Crawford County, Wisconsin",13461,5449,8012,6623,44459,54562,127,941,23020
0500000US55025,55025,"Dane County, Wisconsin",413418,111094,302073,211114,62865,82258,3216,19801,34562
0500000US55027,55027,"Dodge County, Wisconsin",72158,26019,46121,33322,53783,63974,626,3592,25372
0500000US55029,55029,"Door County, Wisconsin",23674,9611,14038,12968,51928,67218,219,1286,30920
0500000US55031,55031,"Douglas County, Wisconsin",35600,12634,22948,18581,47095,57932,363,2838,25191
0500000US55033,55033,"Dunn County, Wisconsin",36303,12340,23957,16441,49788,61953,330,2259,24098
0500000US55035,55035,"Eau Claire County, Wisconsin",82797,25344,57390,39893,49513,63855,779,4978,26034
0500000US55037,55037,"Florence County, Wisconsin",3803,1711,2092,1904,48643,57165,49,220,25142
